    1.000000    0.000000
    0.999308   -0.000085
    0.997231   -0.000337
    0.993775   -0.000743
    0.988944   -0.001288
    0.982753   -0.001954
    0.975222   -0.002731
    0.966377   -0.003616
    0.956234   -0.004593
    0.944817   -0.005639
    0.932162   -0.006730
    0.918311   -0.007849
    0.903305   -0.008980
    0.887196   -0.010114
    0.870044   -0.011249
    0.851910   -0.012389
    0.832864   -0.013551
    0.812977   -0.014756
    0.792322   -0.016035
    0.770899   -0.017398
    0.748734   -0.018818
    0.725871   -0.020260
    0.702360   -0.021680
    0.678273   -0.023036
    0.653712   -0.024308
    0.628743   -0.025484
    0.603432   -0.026553
    0.577844   -0.027506
    0.552047   -0.028333
    0.526107   -0.029029
    0.500094   -0.029587
    0.474079   -0.030002
    0.448135   -0.030254
    0.422331   -0.030332
    0.396737   -0.030271
    0.371423   -0.030105
    0.346458   -0.029839
    0.321911   -0.029475
    0.297845   -0.029014
    0.274329   -0.028458
    0.251427   -0.027809
    0.229198   -0.027069
    0.207702   -0.026239
    0.186999   -0.025321
    0.167150   -0.024323
    0.148207   -0.023253
    0.130216   -0.022119
    0.113225   -0.020928
    0.097279   -0.019685
    0.082440   -0.018398
    0.068743   -0.017071
    0.056214   -0.015706
    0.044879   -0.014299
    0.034766   -0.012839
    0.025898   -0.011316
    0.018366   -0.009721
    0.012157   -0.008059
    0.007213   -0.006303
    0.003521   -0.004405
    0.001102   -0.002318
    0.000000    0.000000
    0.000268    0.002555
    0.001957    0.005324
    0.005098    0.008266
    0.009695    0.011317
    0.015709    0.014421
    0.023046    0.017556
    0.031654    0.020751
    0.041575    0.024001
    0.052780    0.027280
    0.065232    0.030561
    0.078889    0.033823
    0.093704    0.037051
    0.109629    0.040234
    0.126639    0.043353
    0.144686    0.046381
    0.163719    0.049295
    0.183680    0.052073
    0.204512    0.054698
    0.226163    0.057155
    0.248573    0.059429
    0.271680    0.061507
    0.295418    0.063378
    0.319721    0.065035
    0.344525    0.066466
    0.369758    0.067662
    0.395352    0.068618
    0.421234    0.069323
    0.447337    0.069738
    0.473585    0.069823
    0.499906    0.069587
    0.526229    0.069046
    0.552482    0.068202
    0.578590    0.067053
    0.604480    0.065606
    0.630076    0.063867
    0.655305    0.061853
    0.680095    0.059581
    0.704377    0.057073
    0.728119    0.054342
    0.751266    0.051384
    0.773740    0.048197
    0.795464    0.044789
    0.816344    0.041184
    0.836267    0.037446
    0.855197    0.033657
    0.873101    0.029887
    0.889950    0.026196
    0.905712    0.022638
    0.920360    0.019255
    0.933863    0.016082
    0.946190    0.013146
    0.957312    0.010470
    0.967204    0.008067
    0.975834    0.005948
    0.983173    0.004131
    0.989203    0.002637
    0.993914    0.001479
    0.997290    0.000655
    0.999322    0.000163
    1.000000    0.000000
